id,t,O,R,I,survie,energie_nette,integrite,persistance,repertoire,codification,densite_transmission,fidelite,perturb_symbolic,demande_env,U_raw,Cap,Sigma,V,S,C,delta_C,threshold_value,threshold_hit
A,0,0.55,0.5,0.52,1.0,0.62,0.7,0.6,0.3,0.28,0.25,0.55,0,0.35,0.0,143.00000000000003,0.0,0.46619999999999995,0.34500000000000003,0.0,0.0,0.22641674486886082,0
A,1,0.5503,0.5005,0.5202,1.0,0.6192,0.6983,0.6,0.3017,0.2817,0.2525,0.5517,0,0.39,0.0,143.27616303,0.0,0.46572599999999986,0.3469,0.12588000000000002,0.12588000000000002,0.22641674486886082,0
A,2,0.5507,0.501,0.5203,1.0,0.6183,0.6967,0.6,0.3033,0.2833,0.255,0.5533,0,0.43,0.0,143.55113421,0.0,0.46524899999999997,0.348725,0.2527574,0.1268774,0.22641674486886082,0
A,3,0.551,0.5016,0.5205,1.0,0.6175,0.695,0.6,0.305,0.285,0.2575,0.555,0,0.47,0.0,143.85662280000003,0.0,0.464775,0.35062499999999996,0.380595,0.1278376,0.22641674486886082,0
A,4,0.5514,0.5021,0.5207,1.0,0.6167,0.6933,0.6,0.3067,0.2867,0.26,0.5567,0,0.51,0.0,144.159929358,0.0,0.46430099999999996,0.352525,0.50943,0.12883500000000003,0.22641674486886082,0
A,5,0.5517,0.5026,0.5209,1.0,0.6158,0.6917,0.6,0.3083,0.2883,0.2625,0.5583,0,0.55,0.0,144.437454378,0.0,0.46382399999999996,0.35435,0.6392624,0.12983239999999996,0.22641674486886082,0
A,6,0.5521,0.5031,0.521,1.0,0.615,0.69,0.6,0.31,0.29,0.265,0.56,0,0.59,0.0,144.71374671,0.0,0.46335,0.35625,0.7700549999999999,0.13079259999999993,0.22641674486886082,0
A,7,0.5524,0.5036,0.5212,1.0,0.6142,0.6883,0.6,0.3117,0.2917,0.2675,0.5617,0,0.63,0.0,144.99191916800004,0.0,0.462876,0.35814999999999997,0.9018449999999999,0.13178999999999996,0.22641674486886082,0
A,8,0.5528,0.5041,0.5214,1.0,0.6133,0.6867,0.6,0.3133,0.2933,0.27,0.5633,0,0.67,0.0,145.29670267199998,0.0,0.46239899999999995,0.35997500000000004,1.0346323999999998,0.1327873999999999,0.22641674486886082,0
A,9,0.5531,0.5047,0.5216,1.0,0.6125,0.685,0.6,0.315,0.295,0.2725,0.565,0,0.71,0.0,145.604415712,0.0,0.461925,0.361875,1.1683799999999998,0.13374759999999997,0.22641674486886082,0
A,10,0.5534,0.5052,0.5217,1.0,0.6117,0.6833,0.6,0.3167,0.2967,0.275,0.5667,0,0.75,0.0,145.85567565600002,0.0,0.461451,0.36377499999999996,1.3031249999999996,0.1347449999999999,0.22641674486886082,0
