t,O,R,I,demande_env,survie,energie_nette,integrite,persistance,repertoire,codification,densite_transmission,fidelite
0,0.9009934283060225,0.9004549198692082,0.9002270346905025,0.806182243774646,0.5484318309384429,0.5498516088710428,0.5523574004759525,0.553316577798874,0.35167498073756515,0.34685926705195413,0.3499174552848481,0.35121119027100983
1,0.8997234713976576,0.9026142855085649,0.9013242613490421,0.8052660225273297,0.5531470276775107,0.5520244584764998,0.5512763726853549,0.5535610909166812,0.3502280161742372,0.35160995825758184,0.35531675479000924,0.3499274131808272
2,0.9012953770762014,0.8967850335308776,0.9031720336322907,0.7992531075545628,0.5478869689283717,0.5466318339353131,0.5470990715706124,0.5519161906660875,0.3516162679773391,0.35355711246398897,0.3549837776436436,0.3472888944178096
3,0.903046059712816,0.9003692677170646,0.8975243690023463,0.8029147128528631,0.5457746161109094,0.5511472292385522,0.5498568659315741,0.5465709852618086,0.3472379792207619,0.3521568599319952,0.34862871123024114,0.3509730778451648
4,0.8995316932505534,0.9005197655884969,0.9042660667493125,0.8019361278487555,0.5453301124794283,0.5504993566246392,0.5499891923827284,0.5549002945969034,0.3505080824721082,0.35298814305741744,0.34819336381891464,0.3464628806265206
5,0.8995317260861017,0.9015636457435546,0.896095824400955,0.8041058946725971,0.5518180298540369,0.5514773537920244,0.5465249059324224,0.546560963820944,0.34575885650928506,0.3477296147342916,0.35140632276822503,0.35356303816538465
6,0.9031584256310148,0.8975260985782438,0.8996964298099288,0.7971052296182597,0.5461587119425112,0.5508675059317235,0.5545101949053015,0.5509079063957172,0.34966632181595386,0.3457345679997744,0.3470048436824351,0.3486061481081048
7,0.9015348694583059,0.8973590867738315,0.9011766344129691,0.8020581543799954,0.5552643825459531,0.5573659004197328,0.552632086871727,0.547737172449942,0.3472882770756056,0.3545040009558664,0.3509053756994584,0.3506034789676185
8,0.8990610512281301,0.9010438831312338,0.9005619837354701,0.8031752734605488,0.5437542117763489,0.5480867800472461,0.549337107478511,0.5498075849602211,0.3477934101722307,0.34903196048347357,0.35229824083515404,0.3508498636146384
9,0.9010851200871719,0.9005939693464664,0.8987546009603589,0.7947237815407308,0.5550893691048702,0.5484070091349946,0.5500806575169837,0.5509862872309105,0.3537082795256313,0.34924750095063484,0.3536807996716529,0.3492232850788877
