id,t,O,R,I,survie,energie_nette,integrite,persistance,repertoire,codification,densite_transmission,fidelite,perturb_symbolic,demande_env,U_raw,V,S,Cap,Sigma,C,delta_C,threshold_hit
A,0,0.55,0.5,0.52,1.0,0.62,0.7,0.6,0.3,0.28,0.25,0.55,0,0.35,0.0,0.7300000000000001,0.34500000000000003,0.14300000000000002,0.20699999999999996,0.0,0.0,0
A,1,0.5503,0.5005,0.5202,1.0,0.6192,0.6983,0.6,0.3017,0.2817,0.2525,0.5517,0,0.39,0.0,0.729375,0.3469,0.14327616303,0.24672383697000003,0.0,0.0,0
A,2,0.5507,0.501,0.5203,1.0,0.6183,0.6967,0.6,0.3033,0.2833,0.255,0.5533,0,0.43,0.0,0.72875,0.348725,0.14355113421,0.28644886579,0.0,0.0,0
A,3,0.551,0.5016,0.5205,1.0,0.6175,0.695,0.6,0.305,0.285,0.2575,0.555,0,0.47,0.0,0.728125,0.35062499999999996,0.14385662280000003,0.3261433772,0.0,0.0,0
A,4,0.5514,0.5021,0.5207,1.0,0.6167,0.6933,0.6,0.3067,0.2867,0.26,0.5567,0,0.51,0.0,0.7275,0.352525,0.144159929358,0.36584007064199997,0.0,0.0,0
A,5,0.5517,0.5026,0.5209,1.0,0.6158,0.6917,0.6,0.3083,0.2883,0.2625,0.5583,0,0.55,0.0,0.726875,0.35435,0.144437454378,0.405562545622,0.0,0.0,0
A,6,0.5521,0.5031,0.521,1.0,0.615,0.69,0.6,0.31,0.29,0.265,0.56,0,0.59,0.0,0.72625,0.35625,0.14471374671,0.44528625328999993,0.0,0.0,0
A,7,0.5524,0.5036,0.5212,1.0,0.6142,0.6883,0.6,0.3117,0.2917,0.2675,0.5617,0,0.63,0.0,0.725625,0.35814999999999997,0.14499191916800003,0.485008080832,0.0,0.0,0
A,8,0.5528,0.5041,0.5214,1.0,0.6133,0.6867,0.6,0.3133,0.2933,0.27,0.5633,0,0.67,0.0,0.725,0.35997500000000004,0.14529670267199998,0.524703297328,0.0,0.0,0
A,9,0.5531,0.5047,0.5216,1.0,0.6125,0.685,0.6,0.315,0.295,0.2725,0.565,0,0.71,0.0,0.7243750000000001,0.361875,0.145604415712,0.564395584288,0.0,0.0,0
A,10,0.5534,0.5052,0.5217,1.0,0.6117,0.6833,0.6,0.3167,0.2967,0.275,0.5667,0,0.75,0.0,0.72375,0.36377499999999996,0.14585567565600002,0.604144324344,0.0,0.0,0
A,11,0.5538,0.5057,0.5219,1.0,0.6108,0.6817,0.6,0.3183,0.2983,0.2775,0.5683,0,0.79,0.0,0.723125,0.36560000000000004,0.14616157085400003,0.643838429146,0.0,0.0,0
