t,year,O,R,I,demand
0,1845,9.882314987303326,10.311981402704301,-0.3290369525975567,-0.42966641540097505
1,1846,9.883335864325275,10.7177677069941,-0.32801607557560786,-0.8344318426688258
2,1847,9.883845912280838,10.802652471248297,-0.2862705641646084,-0.918806558967459
3,1848,9.391911647379432,10.584587455185396,-0.7695789524474002,-1.1926758078059638
4,1849,10.241423003850693,9.963217656743893,0.05777292770415521,0.2782053471068
5,1850,10.968215530759235,9.038483865029992,0.7214226837870736,1.9297316657292427
6,1851,11.219909190927746,8.623533227187563,0.8791461284231428,2.596375963740183
7,1852,11.226455990357765,8.533263371593732,0.8435261970353025,2.6931926187640336
8,1853,11.390543118681444,9.227295812625595,0.9984402229350806,2.1632473060558493
9,1854,11.023225122819186,9.883335864325275,0.7016488788018513,1.1398892584939109
10,1855,11.220847076199346,10.401562227376685,0.9659367479391037,0.8192848488226616
11,1856,11.385785035138976,10.445259365192133,1.1835361792580201,0.9405256699468438
12,1857,11.1347495952997,10.295225540024292,0.9369411843289033,0.8395240552754082
13,1858,10.379442189358636,9.966509298952284,0.16638754102254616,0.4129328904063527
14,1859,9.444700778495557,9.524493961633755,-0.8017575761821174,-0.07979318313819839
15,1860,9.975389521825205,8.942591637231851,-0.3159858423622932,1.0327978845933536
16,1861,10.320584744874,8.314097335405805,-0.029922758025040963,2.0064874094681944
17,1862,7.687538766201629,8.316544717929398,-2.7268354900622294,-0.6290059517277689
18,1863,11.935909549075074,9.570180302058072,1.5217839925616659,2.3657292470170024
19,1864,11.907403771942095,10.551140381763863,1.620670992782884,1.3562633901782313
20,1865,11.359902482386683,11.015032519115959,1.1728535592135572,0.3448699632707246
21,1866,10.631301825004375,11.167204591251192,0.49139300260553753,-0.5359027662468172
22,1867,9.599066156080049,11.19507280317333,-0.5253791431462833,-1.5960066470932812
23,1868,7.732369222284388,10.661509135319276,-2.389244146386047,-2.9291399130348887
24,1869,8.684570300824369,9.70448768268936,-1.4912630966995568,-1.0199173818649907
25,1870,9.205428327615161,9.193295937366925,-1.0676563145141174,0.012132390248236646
26,1871,9.25349564229011,8.665785595466064,-1.0715356237397877,0.5877100468240464
27,1872,11.165365991463032,8.568076401730806,0.7867298274958117,2.5972895897322257
28,1873,10.822195360925887,9.847499042327273,0.43363011890714986,0.9746963185986139
29,1874,10.822394858193437,10.340160587768485,0.5638428398410564,0.4822342704249518
30,1875,11.525357861463222,10.3475642139384,1.3168694527945028,1.1777936475248225
31,1876,11.483712902780677,10.74378237738236,1.2759768407366217,0.7399305253983179
32,1877,11.36802685246491,10.731405981781311,1.2005539521548823,0.6366208706835987
33,1878,11.186793582143247,10.695370855832222,1.018063009006113,0.49142272631102557
34,1879,10.553753327777704,10.50042665029748,0.3813609131651994,0.05332667748022324
35,1880,9.221379219091398,9.395241931033524,-0.9708231658877651,-0.17386271194212632
36,1881,8.954286157204713,9.441531454869693,-1.3502236260797655,-0.48724529766498037
37,1882,9.176886995716963,9.816894269951032,-1.122918907844772,-0.640007274234069
38,1883,10.671765396408588,10.467123818934358,0.4101033618739436,0.20464157747423073
39,1884,10.863048479640058,10.68672677662261,0.6674619053200548,0.17632170301744843
40,1885,11.811925744187395,11.092717208787851,1.638654929765469,0.7192085353995434
41,1886,11.811999897358218,11.2816363282696,1.6799852895943932,0.5303635690886175
42,1887,11.550134540752499,10.852264835444581,1.4373176421401865,0.6978697053079177
43,1888,10.738589920723442,10.39179145561983,0.5821408632284388,0.34679846510361223
44,1889,9.617870014133226,10.019090435608215,-0.5853717345522718,-0.4012204214749886
45,1890,10.094149233605084,9.690356211348643,-0.146965896039859,0.40379302225644054
46,1891,10.637080656910603,9.555418330069251,0.36255999349652157,1.0816623268413519
47,1892,10.865535281748011,9.922358373286379,0.5773024106683966,0.9431769084616324
48,1893,10.892675523922948,10.414243173852004,0.6417306110185077,0.4784323500709444
49,1894,11.161962746590705,10.736418414365374,0.9610025115908272,0.4255443322253303
50,1895,11.359902482386683,10.847607436328959,1.1916812659687341,0.5122950460577247
51,1896,10.945370746958147,10.745722618580869,0.7884484107718741,0.1996481283772784
52,1897,9.716615658643356,10.424689159126888,-0.45066007694181565,-0.7080735004835326
53,1898,8.725994381014571,9.798737961337057,-1.473904346882911,-1.072743580322486
54,1899,7.741099090035366,9.089414904047302,-2.522407964383939,-1.3483158140119365
55,1900,9.4588397305527,8.872206756028303,-0.8767477876421435,0.586632974524397
56,1901,8.459775920546287,9.1559897772261,-1.8978840001795785,-0.6962138566798135
57,1902,8.461891875631148,9.60649561075857,-1.866930392674794,-1.144603735127422
58,1903,10.52462839711098,10.35682176584848,0.24158593122494132,0.16780663126250062
59,1904,11.152256842617728,11.011571509662051,0.9454615206613468,0.14068533295567676
60,1905,10.964415280897114,11.058968398224941,0.8241547553300155,-0.0945531173278269
61,1906,10.263990161609186,10.909637269778615,0.12854604469258923,-0.6456471081694293
62,1907,10.059251216519025,8.748463629942055,-0.09136773065850257,1.3107875865769696
63,1908,9.977713374888099,8.134760782418645,-0.3925211573996865,1.8429525924694534
64,1909,10.17888193964875,8.601718146485926,-0.2537162581300123,1.5771637931628248
65,1910,10.879951039444416,9.36314729221994,0.49480442669374725,1.5168037472244755
66,1911,11.134311613512741,9.920885329712547,0.826540415804164,1.2134262838001941
67,1912,11.232960207829446,10.400650262332935,0.9818656062001399,0.8323099454965117
68,1913,10.966835292103926,10.585346257326217,0.7644937635505897,0.3814890347777098
69,1914,10.620619778346533,10.677315698578214,0.43704681066229867,-0.056695920231680574
70,1915,10.124669180536797,10.61719687580895,-0.049557975093970086,-0.49252769527215357
71,1916,9.4407375520017,10.320914169043535,-0.7395987982792533,-0.880176617041835
72,1917,8.511376306094672,9.751559401061966,-1.699067897995409,-1.2401830949672945
73,1918,8.412054873292933,8.82776136765472,-1.8562464035472317,-0.4157064943617872
74,1919,9.324650718153594,8.068089626278244,-1.0375256837069653,1.2565610918753496
75,1920,10.943781931879723,8.166500319155052,0.5044087000658148,2.7772816127246713
76,1921,11.150965149459202,9.204422898212146,0.7215922811046962,1.946542251247056
77,1922,11.26113806771427,9.918425424900335,0.9372375086166986,1.342712642813936
78,1923,11.296397482445013,10.373209892223665,1.0450529085669746,0.9231875902213478
79,1924,11.203420325507885,10.653983406613278,0.9982903431134922,0.5494369188946067
80,1925,10.516806585736159,10.801227273515407,0.3402084336905773,-0.28442068777924767
81,1926,8.442685139241176,10.896572644989313,-1.7189502872799292,-2.4538875057481366
82,1927,7.840312983320164,10.863814308399894,-2.311633573617385,-3.02350132507973
83,1928,7.496097345175956,10.537441898283253,-2.6591780702691707,-3.0413445531072973
84,1929,7.779466967458324,9.859587910246109,-2.408973977350298,-2.0801209427877847
85,1930,8.350193650720067,8.8509474519704,-1.9071299129850896,-0.5007538012503332
86,1931,9.879246088163093,9.025335217553026,-0.480574174709119,0.8539108706100667
87,1932,11.31582726941323,9.681031265002055,0.9737280588750608,1.6347960044111751
88,1933,11.404905861514429,10.119445348035612,1.129437609479849,1.2854605134788173
89,1934,11.31033181069621,10.298935994257638,1.0794146135103624,1.0113958164385721
90,1935,9.665293813175541,10.474495347310452,-0.5473837837462341,-0.8092015341349104
