t,Ma,genera,extinction_rate,origination_rate,O,R,I,demand,S
0,541.0,100,0.0,0.016855,0.0,1.0,0.268742,0.0,0.0
1,535.5,152,0.0,0.095157,0.0,1.0,1.0,0.0,0.0
2,530.1,204,0.0,0.062603,0.000518,1.0,0.998185,0.0,2.7e-05
3,524.6,256,0.0,0.046646,0.026434,1.0,0.743746,0.0,0.00202
4,519.1,304,0.0,0.034311,0.050356,1.0,0.547082,0.0,0.004628
5,513.7,332,0.0,0.016855,0.064311,1.0,0.268742,0.0,0.007593
6,508.2,359,0.0,0.014882,0.077767,1.0,0.237289,0.0,0.010903
7,502.7,386,0.0,0.013763,0.091224,1.0,0.219442,0.0,0.014558
8,497.3,418,0.0,0.015171,0.107172,1.0,0.241888,0.0,0.018622
9,491.8,455,0.0,0.016198,0.125612,1.0,0.258272,0.0,0.023159
10,486.4,491,0.0,0.014479,0.143553,1.0,0.230857,0.0,0.028157
11,480.9,582,0.0,0.033915,0.188906,1.0,0.540768,0.0,0.034317
12,475.4,692,0.0,0.034587,0.243728,1.0,0.551469,0.0,0.041883
13,470.0,801,0.0,0.028824,0.298051,1.0,0.459591,0.0,0.050842
14,464.5,910,0.0,0.024902,0.352375,1.0,0.39705,0.0,0.061195
15,459.0,1019,0.0,0.021919,0.406698,1.0,0.349491,0.0,0.07294
16,453.6,1129,0.0,0.019754,0.46152,1.0,0.31497,0.0,0.086091
17,448.1,1105,0.00389,0.0,0.449559,0.917043,0.0,0.082957,0.098936
18,442.6,832,0.04521,0.0,0.313501,0.035875,0.0,0.964125,0.108291
19,437.2,672,0.035191,0.0,0.23376,0.249536,0.0,0.750464,0.115602
20,431.7,617,0.014977,0.0,0.206349,0.680606,0.0,0.319394,0.122209
21,426.2,638,0.0,0.006228,0.216815,1.0,0.099308,0.0,0.129085
22,420.8,692,0.0,0.015489,0.243728,1.0,0.246959,0.0,0.136651
23,415.3,747,0.0,0.014544,0.271139,1.0,0.231904,0.0,0.14492
24,409.8,802,0.0,0.013473,0.29855,1.0,0.214829,0.0,0.153892
25,404.4,856,0.0,0.012321,0.325462,1.0,0.196458,0.0,0.163554
26,398.9,911,0.0,0.011758,0.352873,1.0,0.187474,0.0,0.173919
27,393.5,965,0.0,0.010847,0.379786,1.0,0.172952,0.0,0.184975
28,388.0,1020,0.0,0.01043,0.407197,1.0,0.166298,0.0,0.196733
29,382.5,1075,0.0,0.009867,0.434608,1.0,0.157331,0.0,0.209194
30,377.1,982,0.015831,0.0,0.388258,0.662396,0.0,0.337604,0.220466
31,371.6,764,0.040624,0.0,0.279611,0.13368,0.0,0.86632,0.228953
32,366.1,661,0.024671,0.0,0.228278,0.473889,0.0,0.526111,0.236123
33,360.7,607,0.01495,0.0,0.201366,0.681195,0.0,0.318805,0.242602
34,355.2,624,0.0,0.005125,0.209838,1.0,0.081717,0.0,0.249299
35,349.7,651,0.0,0.007918,0.223294,1.0,0.12625,0.0,0.256341
36,344.3,679,0.0,0.007871,0.237249,1.0,0.125496,0.0,0.263741
37,338.8,706,0.0,0.007277,0.250705,1.0,0.116023,0.0,0.271486
38,333.3,733,0.0,0.006998,0.264161,1.0,0.111586,0.0,0.279577
39,327.9,761,0.0,0.00699,0.278116,1.0,0.111456,0.0,0.288025
40,322.4,788,0.0,0.006493,0.291572,1.0,0.103521,0.0,0.296818
41,316.9,815,0.0,0.00627,0.305029,1.0,0.099974,0.0,0.305956
42,311.5,843,0.0,0.006287,0.318983,1.0,0.100242,0.0,0.315452
43,306.0,870,0.0,0.005861,0.33244,1.0,0.093452,0.0,0.325293
44,300.6,897,0.0,0.005679,0.345896,1.0,0.090552,0.0,0.335479
45,295.1,949,0.0,0.010608,0.371812,1.0,0.169146,0.0,0.34633
46,289.6,1004,0.0,0.010606,0.399223,1.0,0.169102,0.0,0.357883
47,284.2,1058,0.0,0.009842,0.426135,1.0,0.156932,0.0,0.370127
48,278.7,1107,0.0,0.008475,0.450556,1.0,0.135133,0.0,0.382997
49,273.2,1134,0.0,0.004463,0.464012,1.0,0.071165,0.0,0.396212
50,267.8,1161,0.0,0.004357,0.477468,1.0,0.069471,0.0,0.409772
51,262.3,1188,0.0,0.004256,0.490924,1.0,0.067855,0.0,0.423678
52,256.8,805,0.058996,0.0,0.300045,0.0,0.0,1.0,0.432688
53,251.4,209,0.135484,0.0,0.00301,0.0,0.0,1.0,0.434081
54,245.9,287,0.0,0.068295,0.041884,1.0,1.0,0.0,0.436471
55,240.4,361,0.0,0.047183,0.078764,1.0,0.752317,0.0,0.439807
56,235.0,434,0.0,0.037004,0.115146,1.0,0.59002,0.0,0.444076
57,229.5,510,0.0,0.032045,0.153023,1.0,0.510946,0.0,0.449316
58,224.1,619,0.0,0.039111,0.207346,1.0,0.623602,0.0,0.455949
59,218.6,686,0.0,0.019807,0.240738,1.0,0.315817,0.0,0.463438
60,213.1,631,0.014672,0.0,0.213327,0.687124,0.0,0.312876,0.470225
61,207.7,577,0.01566,0.0,0.186414,0.666038,0.0,0.333962,0.476321
62,202.2,522,0.017443,0.0,0.159003,0.62802,0.0,0.37198,0.481714
63,196.7,533,0.0,0.003856,0.164485,1.0,0.061486,0.0,0.487248
64,191.3,587,0.0,0.01854,0.191398,1.0,0.295609,0.0,0.493473
65,185.8,642,0.0,0.017146,0.218809,1.0,0.273386,0.0,0.5004
66,180.3,697,0.0,0.015677,0.24622,1.0,0.249965,0.0,0.50803
67,174.9,751,0.0,0.014177,0.273132,1.0,0.226054,0.0,0.51635
68,169.4,806,0.0,0.013402,0.300543,1.0,0.213685,0.0,0.525373
69,163.9,861,0.0,0.012487,0.327954,1.0,0.199104,0.0,0.535099
70,158.5,915,0.0,0.011477,0.354867,1.0,0.182996,0.0,0.545515
71,153.0,970,0.0,0.011,0.382278,1.0,0.175385,0.0,0.556634
72,147.5,1025,0.0,0.010376,0.409689,1.0,0.165441,0.0,0.568456
73,142.1,1079,0.0,0.009641,0.436601,1.0,0.153717,0.0,0.580969
74,136.6,1134,0.0,0.009328,0.464012,1.0,0.148728,0.0,0.594184
75,131.2,1188,0.0,0.008714,0.490924,1.0,0.138942,0.0,0.608089
76,125.7,1243,0.0,0.008472,0.518335,1.0,0.135082,0.0,0.622697
77,120.2,1298,0.0,0.008097,0.545746,1.0,0.129105,0.0,0.638008
78,114.8,1352,0.0,0.007613,0.572659,1.0,0.121387,0.0,0.65401
79,109.3,1407,0.0,0.007444,0.60007,1.0,0.118696,0.0,0.670714
80,103.8,1462,0.0,0.007153,0.627481,1.0,0.114056,0.0,0.688121
81,98.4,1525,0.0,0.007886,0.658879,1.0,0.125732,0.0,0.706333
82,92.9,1607,0.0,0.00984,0.699746,1.0,0.15689,0.0,0.725594
83,87.4,1688,0.0,0.009224,0.740115,1.0,0.147069,0.0,0.745889
84,82.0,1770,0.0,0.00889,0.780982,1.0,0.14174,0.0,0.767233
85,76.5,1575,0.02016,0.0,0.683798,0.570073,0.0,0.429927,0.786084
86,71.0,1224,0.040782,0.0,0.508866,0.130319,0.0,0.869681,0.80045
87,65.6,912,0.046646,0.0,0.353372,0.005267,0.0,0.994733,0.810828
88,60.1,1061,0.0,0.029897,0.42763,1.0,0.476697,0.0,0.82311
89,54.6,1207,0.0,0.025181,0.500394,1.0,0.401503,0.0,0.837258
90,49.2,1316,0.0,0.016526,0.554717,1.0,0.263494,0.0,0.852799
91,43.7,1426,0.0,0.015296,0.609539,1.0,0.243887,0.0,0.869746
92,38.3,1523,0.0,0.012448,0.657882,1.0,0.198474,0.0,0.887933
93,32.8,1596,0.0,0.008771,0.694264,1.0,0.139854,0.0,0.907053
94,27.3,1669,0.0,0.00837,0.730645,1.0,0.133457,0.0,0.927105
95,21.9,1794,0.0,0.013705,0.792943,1.0,0.218527,0.0,0.948756
96,16.4,1958,0.0,0.016729,0.874677,1.0,0.266731,0.0,0.972502
97,10.9,2204,0.0,0.022991,0.997279,1.0,0.366584,0.0,0.999392
98,5.5,2477,0.0,0.022667,1.0,1.0,0.361412,0.0,1.0
99,0.0,3200,0.0,0.053413,1.0,1.0,0.851655,0.0,1.0
